number,title,classification,timestamp,latitude,longitude,geometry,index_right,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
637,Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,Class A,2000-06-16T12:00:00Z,61.5,-142.9,POINT (-142.9 61.5),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
2917,Report 2917: Family observes large biped from car,Class A,1995-05-15T12:00:00Z,55.1872,-132.7982,POINT (-132.7982 55.1872),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
7963,Report 7963: Sasquatch walks past window of house at night,Class A,2004-02-09T12:00:00Z,55.2035,-132.8202,POINT (-132.8202 55.2035),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
9317,"Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border",Class A,2004-06-18T12:00:00Z,62.9375,-141.5667,POINT (-141.5667 62.9375),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
13038,"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK",Class A,2004-02-15T12:00:00Z,61.0595,-149.7853,POINT (-149.7853 61.0595),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
23666,Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,Class A,2008-04-23T12:00:00Z,62.77335,-141.3165,POINT (-141.3165 62.77335),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
26604,Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks,Class A,2009-07-15T12:00:00Z,64.89139,-147.8142,POINT (-147.8142 64.89139),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
6486,"Report 6486: Special Forces team follows bipedal trackway, gets screamed at",Class B,1988-03-15T12:00:00Z,69.5,-156.75,POINT (-156.75 69.5),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
8792,Report 8792: Four nocturnal hikers get pelted with snow near Anchorage,Class B,2003-12-12T12:00:00Z,61.09085,-149.7667,POINT (-149.7667 61.09085),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
8797,Report 8797: Two boys find footprints on Harris River bank,Class B,2001-05-13T12:00:00Z,55.4555,-132.7333,POINT (-132.7333 55.4555),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
11616,Report 11616: Fishermen find footprints east of Egegik.,Class B,2004-07-20T12:00:00Z,57.7566,-155.981,POINT (-155.981 57.7566),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
25442,Report 25442: Hunter describes powerful wood knocks at a cabin in remote wilderness south of the town of Chicken,Class B,2008-08-20T12:00:00Z,63.98869,-142.7691,POINT (-142.7691 63.98869),27,02,01785533,0400000US02,02,AK,Alaska,00,1478839695958,245481577452
179,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",Class A,1981-09-15T12:00:00Z,32.31435,-85.16235,POINT (-85.16235 32.31435),17,01,01779775,0400000US01,01,AL,Alabama,00,131174048583,4593327154
